Product Name,Brand Name,Rating,Reviews,Sentiment,Topic
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,if i could give no stars i wouldthis phone is a piece of garbage after only few since i bought it i start having all kind of problems with the phone too many to list then heredont buy this phone also amazon do not stand back for the product they sale buy it from costco they really stand back for what they sale amazon sucks,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,just did not work so i sent it back,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,this phone is horrible came with like a defect or something i can never receive calls or can ever get signal anywhere,Negative,Performance
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,the battery life is very poor also i tried downloading an app and it keeps saying not available in my country i read several ways to fix this but i havent tried yet overall not really satisfied with this phone i like samsung phones but this one did not live up to expectations the reviews i read on amazon were good enough that i thought i would give it a try mistake,Negative,Battery Life
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i would like to alert shoppers using amazon that some of these samsung galaxy s duos ii phones that are advertised for international use could very well be clonesknock offs of samsung products earlier this year i purchased one of these phones through a seller that sells products via amazon upon delivery i immediately noticed that the phone charger that was shipped with the phone did not mate up correctly to the phone so i needed to use a charger that i used on an old blackberry instead also i noted that the picture quality of the camera was pretty low grade which surprised me since samsung generally has good camera quality after longer use other strange things like my contact list would appear complete some days and then other days would be missing most of my contacts eventually every call that i was receiving would have the phone number of the caller but the name of the caller would be using only chinese characters i am using the phone in the usthe other day i ended up going to a tmobile store in my city and showed them the phone and the weirdness i was seeing since i was using one of their sim cards and they looked a the phone in detail it turns that they noticed that the case style was slightly different from a standard samsung build and that the file structure of the android os was missing key operating files that appear on samsung phones the blue tooth was not functioning either they came to the conclusion that the phone was a clonecounterfeit product considering all the tell tale signs noted above they noted that samsung products are commonly counterfeited and not only just this model i confirmed this with my own researchthe only good thing that i can say about this cloned samsung galaxy s duos phone is that at bare minimum the wifi function worked and i could insert a sim card from a country i visited in se asia and was able to at least make a phone call on that phone network otherwise for the price i paid for this phone and the problems that i managed to discover i basically got snookered there may be some legitimate sellers that are selling legitimate samsung galaxy s duos ii phones but considering the age of this model there are likely fewer phones in the s2 or older line up that are legitimateunmodifiedi am not sure i am allowed to list the name of the seller of this phone but if someone from amazon can follow up with me i would be happy to provide the name of the seller and send the phone back to amazon for their counterfeit product investigations organization to study based on my experience with this phone i would be very cautious about buying a phone on amazon unless it was through a main line vendor with a good reputation sometimes that is hard to determine so be careful everyone,Negative,Camera Quality
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,3,bought it for my son who is going to be living in europe next year while on vacation in barcelona this week we bought a 30 day international plan it worked fine he says it is slow and smaller than the galaxy 4 he had,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,5,bienn,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,i went cellular damaged lcd screen who is responsible for that,Negative,Screen Issues
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,1,it doesnt work,Negative,Other
samsung galaxy s duos ii s7582 dual sim factory unlocked international version black,Samsung,4,a good phone my wife is enjoying it some issues with it the hot spot feature does not work,Negative,Performance
